0,@ home...just chillin...I needed to come home...,
0,"its all fire and brimstone baby, so lets go outside, whatcha know bout the ways on the underside...???<3",
1,"if i know what love is,it is because of you....",it is because of you
1,"Mexican food is good. \nMmm, chimichanga.",chimichanga
0,"modern warfare 2, I will have it soon!",
1,"had a fun time at the corn maze tonight, and glad to not have spent his Sat. night at time.",had a fun time at the corn maze tonight
0,So...who wants what for Xmas now that Turkey day is over?,
1,"is getting sick of explaining her hair, her summer, and her fear of driving over and over. on the bright side, her love life has only been prodded at once in the two hours shes been there",her love life has only been prodded at once in the two hours shes been there
0,"good night, i hate you all, especially you.",
0,"Confront the dark parts of yourself, and work to banish them with illumination and forgiveness. Your willingness to wrestle with your demons will cause your angels to sing. Use the pain as fuel, as a reminder of your strength._Ç¢__ÇÇ¢___",
0,Remember to VOTE. 06/08/2010,
0,"The Lord will conquer your enemies when they attack you. They will attack you from one direction, but they will scatter from you in seven! Deuteronomy 28:7",
0,trying my best to finish the book and send it off to the publisher. Wish me luck all.,
0,O mi wrd!!!! am sooooo tired from job-shadowin! Da ANONYMIZED_NAME studio is kick-ass! Luv da grafitti wall,
0,every obsticle making possible possible even when winning is ilogical losers still far from optional,
0,thanks to everyone for the birthday wishes,
1,"So, I should specify, I am NOT alone. ANONYMIZED_NAME did travel with me. I was just so absorbed in my own self pity, I forgot to mention he wasn't too thrilled either. But, the luggage has been found, it is on its way and I am going to take a nice long bath and drown my sorrows in it! Ooh and they have some good smelling shampoo and stuff! I am psyched!","But, the luggage has been found, it is on its way and I am going to take a nice long bath and drown my sorrows in it! Ooh and they have some good smelling shampoo and stuff! I am psyched!"
1,"what a great day i had today. found out my raise took into effect for fridays paycheck. won the check pool for $ANONYMIZED_AMOUNT. had a great cake class and made a wonderful cake. and i think i am getting the hang of my new job at work. not too shabby! oh and josh is burning wood and dring beer friday night, he said whoever wants to stop by is more than welcome just bring your drinkage and let me know if you need directions!","found out my raise took into effect for fridays paycheck. won the check pool for $ANONYMIZED_AMOUNT. had a great cake class and made a wonderful cake. and i think i am getting the hang of my new job at work. not too shabby! oh and josh is burning wood and dring beer friday night, he said whoever wants to stop by is more than welcome just bring your drinkage and let me know if you need directions!"
0,I'm so glad this week is over! can't wait till Sunday!,
0,LOVE IS THE LAW!!!,
0,i just ran a bunch. it was so fun,
1,"Rest in peace Grannie, you'll forever be loved and missed.",you'll forever be loved and missed
1,Why was the washing machine laughing? \nBecause it was taking the piss out the underpants.,Because it was taking the piss out the underpants.
1,enjoyed the ANONYMIZED_NAME opening ceremony: colourful and diverse. and mercifully showcasing india's culture without bollywood!,showcasing india's culture without bollywood!
0,Is there such a thing as earlobe cancer?,
0,"The presence of a friend is a coversation itself""""",
0,"97% of teens would cry if they saw Robert Patterson (Edward Cullen from Twilight"") standing on top of a sky scraper about to jump. If you're one of the 3% that would sit there",
0,GOD IS NOT A MAN THAT HE WOULD LIE. HIS WORDS MUST COME TO PASS IN OUR LIFES. IT IS WELL HALLELUYA!!!,
0,"Hawkey team!!!Anyone want to watch the game , please contact me .I'll join you!!!",
0,ANONYMIZED_NAME is going to ANONYMIZED_NAME ANONYMIZED_NAME's house 2 c the boy in the striped pajamas. ANONYMIZED_NAME ANONYMIZED_NAME is coming with!,
1,A little worried- ANONYMIZED_NAME is up in ANONYMIZED_NAME ANONYMIZED_NAME I keep trying to call but have been able to reach him. I am currently tracking the weather and am worried out of my mind.,ANONYMIZED_NAME is up in ANONYMIZED_NAME ANONYMIZED_NAME I keep trying to call but have been able to reach him.
1,99 cent beer for happy hour at gyu-kaku is the shit ;-D,99 cent beer for happy hour at gyu-kaku is the shit
0,I wish they would show the cheerleaders more between plays...,
0,ANONYMIZED_NAME burnt the rice. ANONYMIZED_NAME liked it though!,
0,Hope I'm Having a girl this time!!!!,
0,anyone know a reputable independant communittie or thougth of what i should do?,
0,"Angle of god, my guardian dear, To whom God's love commits me here, \nEver this day be at my side, To light and guard, to rule and guide. \nAmen.",
1,"Getting over painful experience is much Like crossiiing monkey bars. you have to let go at some point in order to move forward."" :) --TARAAAAAYYY!""",you have to let go at some point in order to move forward
0,not to sure if i like facebook,
1,About to go run on this beautiful day then working with the tiny babies tonight :),About to go run on this beautiful day then working with the tiny babies tonight
